id,title,parent_cat_id
847,Lubrication Systems and Equipment,14
848,Clocks and Watches,16
849,Cleaning Liquids & Wipes,16
850,"Towels	 Napkins & Handkerchieves",16
851,Incense Sticks & Pooja Items,16
852,Musical Equipment & Accessories,16
853,"Buckets	 Mugs & Storage Bins",16
854,Pet Furniture & Products,16
855,Keychains & Bottle Openers,16
856,Mosquito & Insect Repellent,16
857,"Brooms	 Mops & Dusters",16
858,Photo Frames & Picture Frames,16
859,"Aqua Culture	 Aquarium & Supplies",16
860,Hangers & Cloth Pegs,16
861,Garden & Landscaping Products,16
862,"Flower Pots	 Wall & Garden Planters",16
863,Coasters & Napkin Rings,16
864,Candle Stands & Candelabra,16
865,Artificial & Decorative Candles,16
866,Wall & Door Hangings,16
867,Flower Pots & Vases,16
868,Artificial Plants & Foliage,16
869,"Mosquito	 Insect & Bugs Netting",16
870,Fireplace and Fireplace Accessories,16
871,Indoor Lights & Lighting Accessories,16
872,Home Appliances & Kitchen Appliances,16
873,Batteries & Charge Storage Devices,16
874,"Decorative Light	 Lamp & Lamp Shades",16
875,"Domestic Fans	 AC & Coolers",16
876,"Fresh Flowers	 Plants & Trees",16
877,"Door Lock	 Electronic Lock & Latches",16
878,"Heater	 Thermostat & Heating Devices",16
879,"Gifts	 Crafts & Artifacts",16
880,Cleaning Machines & Equipments,16
881,"Brackets	 Holder & Hardware Fittings",16
882,Bed Linen & Bedspreads,16
883,"Light Bulb	 Lamp & Lighting Fixtures",16
884,Bamboo and Wooden Handicrafts,16
885,Gardening and Horticulture Tools,16
886,Carpets & Rugs,16
887,"PU Foam	 Coir & Jute Mattresses",16
888,Cushion & Cushion Covers,16
889,Door Mats & Bath Mats,16
890,Travel Bags & Backpacks,16
891,Drapes & Curtains,16
892,Blankets & Quilts,16
893,Ceramic & Clay Decoratives,16
894,"Lantern	 Chandeliers & Hanging Lamps",16
895,"Wallpaper	 Blinds And Accessories",16
896,Domestic RO Water Purifier & Filters,16
897,"Antique Coins	 Stamps & Collectibles",16
898,Electronic Safes & Security Systems,16
899,Christmas Gifts & Decoratives,16
900,Jute Handicrafts & Jute Products,16
901,Metal & Metal Made Products,17
902,Minerals and Ores,17
903,Steel & Stainless Steel Products,17
904,Iron & Copper Alloys,17
905,Copper & Brass Products,17
906,"Coal	 Carbon & Charcoal",17
907,Metal Scrap & Waste Materials,17
908,"Ironware	 Ironmongery & Iron Artware",17
909,Mica & Mica Products,17
910,Aluminium and Aluminium Products,17
911,"Steel Bars	 Rods	 Plates & Sheets",17
912,Cement and Concrete,17
913,"Drills	 Grinders	 Saws & Power Tools",18
914,"Pliers	 Screwdrivers & Hammers",18
915,Machine & Precision Tools,18
916,Chisels & Professional Hand Tools,18
917,Cutting Tools & Milling Cutter,18
918,Hydraulic & Pneumatic Tools,18
919,Gardening and Horticulture Tools,18
920,"Cutting Blades	 Knives and Scissors",18
921,Jewellery Making Tools & Machines,18
922,Woodworking Tools & Machines,18
923,"Buffing	 Surface Finishing Machines",18
924,"Saws	 Chainsaws and Saw Blades",18
925,"Shearing	 Trimming & Metal Profiling",18
926,Used Machinery & Tools,18
927,CNC Machines & Lathe Machine,18
928,"Sewing	Knitting & Embroidery Machine",18
929,Marine Tools & Equipments,18
930,God & Goddess Statues,19
931,"Gifts	 Crafts & Artifacts",19
932,Bamboo and Wooden Handicrafts,19
933,Corporate & Business Gifts,19
934,Statues & Sculptures,19
935,Party Decorations & Supplies,19
936,Abstract & Contemporary Paintings,19
937,"Brass	 Copper & Metal Handicrafts",19
938,Ceramic & Clay Decoratives,19
939,Awards & Trophies,19
940,Medieval Swords & Armours,19
941,Greeting & Invitation Cards,19
942,"Antique Coins	 Stamps & Collectibles",19
943,Bone and Shell Handicrafts,19
944,Flags & Related Accessories,19
945,Christmas Gifts & Decoratives,19
946,Jute Handicrafts & Jute Products,19
947,"Smoking Pipes	 Chillums & Hookah",19
948,Clocks and Watches,19
949,"Decorative Light	 Lamp & Lamp Shades",19
950,"Fresh Flowers	 Plants & Trees",19
951,"Glass	 Gem Stone	 Wood & Other Beads",19
952,Mirrors and Glassware,19
953,Marble & Stone Artifacts,19
954,Fashion & Designer Bags,19
955,"Cotton	 Jute & Canvas Bags",19
956,Keychains & Bottle Openers,19
957,Photo Frames & Picture Frames,19
958,"Aqua Culture	 Aquarium & Supplies",19
959,Garden & Landscaping Products,19
960,"Flower Pots	 Wall & Garden Planters",19
961,"Lantern	 Chandeliers & Hanging Lamps",19
962,Candle Stands & Candelabra,19
963,Artificial & Decorative Candles,19
964,Wall & Door Hangings,19
965,Flower Pots & Vases,19
966,Artificial Plants & Foliage,19
967,Dinnerware and Serving Utensils,20
968,Cookware and Cooking Utensils,20
969,Mirrors and Glassware,20
970,Food Storage Boxes & Containers,20
971,"Induction Cooktops	 Hobs & Burners",20
972,"Teapot	 Coffee Mugs & Tea Sets",20
973,Hotel & Commercial Cooking Equipment,20
974,Barware and Bar Accessories,20
975,Disposable Cutlery and Crockery,20
976,"Spoons	 Table Knife and Cutlery",20
977,Stainless Steel Utensils & Cookware,20
978,Gas Cylinders and Accessories,20
979,"Baking Tray	 Pans and Bakeware",20
980,Kitchen Cutters & Cutting Boards,20
981,Silver Cutlery and Silver Products,20
982,Barbecue & Outdoor Cooking Devices,20
983,Kitchenware & Cookware,20
984,Yarns & Threads,21
985,"Sewing Threads	 Laces & Accessories",21
986,Garment & Textile Industrial Tools,21
987,Industrial Fabrics and Textiles,21
988,"Tents	 Tarpaulins & PE Covers",21
989,Home Decor Fabric,21
990,Reflective Products & Materials,21
991,"Silk Apparel	 Clothings & Fabrics",21
992,Apparel Fabrics & Dress Materials,21
993,"Ladies Dresses	 Apparels & Clothings",21
994,"Sarees	 Lehenga and Salwar Suits",21
995,"Men Shirts	 Jeans & Clothing",21
996,"Towels	 Napkins & Handkerchieves",21
997,"Motifs	 Badges	 Emblems & Lanyards",21
998,"Cufflink	 Buttons	 Zippers & Buckles",21
999,Kids Dresses,21
1000,Carpets & Rugs,21
1001,Winter Wear & Accessories,21
1002,"Textile	 Dyeing & Finishing Chemical",21
1003,"Socks	 Leggings & Stockings",21
1004,"Wallpaper	 Blinds And Accessories",21
1005,Embroidered Fabric & Textiles,21
1006,Embroidery Needles & Accessories,21
1007,"Mosquito	 Insect & Bugs Netting",21
1008,Embroidered Apparel & Garments,21
1009,Umbrellas and Raincoats,21
1010,Jute Handicrafts & Jute Products,21
1011,Printing Inks & Other Supplies,22
1012,"Files	 Folders & Notebooks",22
1013,"Pen	 Pencil & Writing Supplies",22
1014,Office Stationery & Calculator,22
1015,Presentation Boards & Accessories,22
1016,"Crayon	 Painting Brush & Craft Tools",22
1017,Kids Fiction & Entertainment Books,22
1018,Reference Books & Study Material,22
1019,Science & Technology Books,22
1020,Culture & Religion Related Books,22
1021,Social Science & Literature Books,22
1022,Management & Educational Books,22
1023,Paper & Paper Made Products,22
1024,"Paper Bags	 Gifts & Paper Products",22
1025,Greeting & Invitation Cards,22
1026,"Cosmetics	 Hair & Beauty Products",23
1027,Hand Sanitizers & Personal Hygiene,23
1028,Essential  & Aromatic Oils,23
1029,"Salon	 Spa Kits & Equipments",23
1030,"Ayurvedic	 Herbal Oils and Cosmetics",23
1031,Child and Baby Care Products,23
1032,"Soaps	 Detergent Powder & Cakes",23
1033,Massage Equipments & Spa Devices,23
1034,Perfume and Fragrances,23
1035,Bindi & Body Beautification Products,23
1036,Natural & Herbal Henna,23
1037,Bed Linen & Bedspreads,24
1038,Carpets & Rugs,24
1039,"PU Foam	 Coir & Jute Mattresses",24
1040,Cushion & Cushion Covers,24
1041,Door Mats & Bath Mats,24
1042,Drapes & Curtains,24
1043,Blankets & Quilts,24
1044,"Wallpaper	 Blinds And Accessories",24
